,region,attribute,value,az_region_to_deploy_fuzzy_match,whitelistips
0,Australia Central,Metastore,consolidated-australiacentral-prod-metastore.mysql.database.azure.com,australiacentral,['20.36.105.0']
1,Australia Central,Artifact Blob storage primary,dbartifactsprodaustc.blob.core.windows.net,australiacentral,['52.239.216.36']
2,Australia Central,Artifact Blob storage secondary,dbartifactsprodaustc2.blob.core.windows.net,australiacentral,['52.239.218.4']
3,Australia Central,Log Blob storage,dblogprodausteast.blob.core.windows.net,australiacentral,['20.150.66.228']
4,Australia Central,Event Hub endpoint,prod-australiaeast-observabilityeventhubs.servicebus.windows.net,australiacentral,['13.70.72.2']
5,Australia Central 2,Metastore,consolidated-australiacentral2-prod-metastore.mysql.database.azure.com,australiacentral2,['20.36.113.0']
6,Australia Central 2,Artifact Blob storage primary,dbartifactsprodaustc2.blob.core.windows.net,australiacentral2,['52.239.218.4']
7,Australia Central 2,Artifact Blob storage secondary,dbartifactsprodaustc.blob.core.windows.net,australiacentral2,['52.239.216.36']
8,Australia Central 2,Log Blob storage,dblogprodausteast.blob.core.windows.net,australiacentral2,['20.150.66.228']
9,Australia Central 2,Event Hub endpoint,prod-australiaeast-observabilityeventhubs.servicebus.windows.net,australiacentral2,['13.70.72.2']
10,Australia East,Metastore,,australiaeast,[]
11,Australia East,Artifact Blob storage primary,,australiaeast,[]
12,Australia East,Artifact Blob storage secondary,dbartifactsprodaustse.blob.core.windows.net,australiaeast,['52.239.132.164']
13,Australia East,Log Blob storage,dblogprodausteast.blob.core.windows.net,australiaeast,['20.150.66.228']
14,Australia East,Event Hub endpoint,prod-australiaeast-observabilityeventhubs.servicebus.windows.net,australiaeast,['13.70.72.2']
15,Australia Southeast,Metastore,consolidated-australiasoutheast-prod-metastore.mysql.database.azure.com,australiasoutheast,['13.73.109.251']
16,Australia Southeast,Artifact Blob storage primary,dbartifactsprodaustse.blob.core.windows.net,australiasoutheast,['52.239.132.164']
17,Australia Southeast,Artifact Blob storage secondary,dbartifactsprodauste.blob.core.windows.net,australiasoutheast,['52.239.131.36']
18,Australia Southeast,Log Blob storage,dblogprodausteast.blob.core.windows.net,australiasoutheast,['20.150.66.228']
19,Australia Southeast,Event Hub endpoint,prod-australiaeast-observabilityeventhubs.servicebus.windows.net,australiasoutheast,['13.70.72.2']
20,Brazil South,Metastore,consolidated-brazilsouth-prod-acl.mysql.database.azure.com,brazilsouth,[]
21,Brazil South,Artifact Blob storage primary,dbartifactsprodbrazilsou.blob.core.windows.net,brazilsouth,['20.150.111.4']
22,Brazil South,Artifact Blob storage secondary,dbartifactsprodsafrican.blob.core.windows.net,brazilsouth,['52.239.232.100']
23,Brazil South,Log Blob storage,dblogprodbrazilsou.blob.core.windows.net.,brazilsouth,['191.233.128.196']
24,Brazil South,Event Hub endpoint,prod-brazilsouth-observabilityeventhubs.servicebus.windows.net,brazilsouth,['191.233.203.0']
25,Canada Central,Metastore,consolidated-canadacentral-prod-metastore.mysql.database.azure.com,canadacentral,['40.85.224.249']
26,Canada Central,Artifact Blob storage primary,dbartifactsprodcacentral.blob.core.windows.net,canadacentral,['20.150.16.132']
27,Canada Central,Artifact Blob storage secondary,dbartifactsprodcaeast.blob.core.windows.net,canadacentral,['40.86.232.206']
28,Canada Central,Log Blob storage,dblogprodcacentral.blob.core.windows.net,canadacentral,['20.150.16.132']
29,Canada Central,Event Hub endpoint,prod-canadacentral-observabilityeventhubs.servicebus.windows.net,canadacentral,['13.71.170.16']
30,Canada East,Metastore,consolidated-canadaeast-prod-metastore.mysql.database.azure.com,canadaeast,['40.86.226.166']
31,Canada East,Artifact Blob storage primary,dbartifactsprodcaeast.blob.core.windows.net,canadaeast,['40.86.232.206']
32,Canada East,Artifact Blob storage secondary,dbartifactsprodcacentral.blob.core.windows.net,canadaeast,['20.150.16.132']
33,Canada East,Log Blob storage,dblogprodcacentral.blob.core.windows.net,canadaeast,['20.150.16.132']
34,Canada East,Event Hub endpoint,prod-canadacentral-observabilityeventhubs.servicebus.windows.net,canadaeast,['13.71.170.16']
35,Central India,Metastore,consolidated-centralindia-prod-metastore.mysql.database.azure.com,centralindia,['104.211.96.159']
36,Central India,Artifact Blob storage primary,dbartifactsprodcindia.blob.core.windows.net,centralindia,['104.211.109.52']
37,Central India,Artifact Blob storage secondary,dbartifactsprodwindia.blob.core.windows.net,centralindia,['52.239.135.234']
38,Central India,Log Blob storage,dblogprodcindia.blob.core.windows.net,centralindia,['104.211.109.52']
39,Central India,Event Hub endpoint,prod-centralindia-observabilityeventhubs.servicebus.windows.net,centralindia,['104.211.98.185']
40,Central US,Metastore,,centralus,[]
41,Central US,Artifact Blob storage primary,,centralus,[]
42,Central US,Artifact Blob storage secondary,dbartifactsprodscus.blob.core.windows.net,centralus,['20.38.104.100']
43,Central US,Log Blob storage,,centralus,[]
44,Central US,Event Hub endpoint,,centralus,[]
45,China East 2,Metastore,consolidated-chinaeast2-prod-metastore-0.mysql.database.chinacloudapi.cn,,['40.73.82.1']
46,China East 2,Artifact Blob storage primary,dbartifactsprodcne2.blob.core.chinacloudapi.cn,,['40.73.81.68']
47,China East 2,Artifact Blob storage secondary,dbartifactsprodcnn2.blob.core.chinacloudapi.cn,,['40.73.48.4']
48,China East 2,Log Blob storage,dblogprodchinaeast2.blob.core.chinacloudapi.cn,,['40.73.85.36']
49,China East 2,Event Hub endpoint,prod-chinaeast2-observabilityeventhubs.servicebus.chinacloudapi.cn,,['40.73.168.36']
50,China North 2,Metastore,consolidated-chinanorth2-prod-metastore-0.mysql.database.chinacloudapi.cn,,['40.73.50.0']
51,China North 2,Artifact Blob storage primary,dbartifactsprodcnn2.blob.core.chinacloudapi.cn,,['40.73.48.4']
52,China North 2,Artifact Blob storage secondary,dbartifactsprodcnn2.blob.core.chinacloudapi.cn (identical to primary),,[]
53,China North 2,Log Blob storage,dblogprodchinanorth2.blob.core.chinacloudapi.cn,,['40.73.48.100']
54,China North 2,Event Hub endpoint,prod-chinanorth2-observabilityeventhubs.servicebus.chinacloudapi.cn,,['40.73.136.34']
55,East Asia,Metastore,consolidated-eastasia-prod-metastore.mysql.database.azure.com,eastasia,['13.75.33.21']
56,East Asia,Artifact Blob storage primary,dbartifactsprodeap.blob.core.windows.net,eastasia,['52.175.112.16']
57,East Asia,Artifact Blob storage secondary,dbartifactsprodseap.blob.core.windows.net,eastasia,"['52.239.197.100', '52.239.129.68', '52.239.129.196']"
58,East Asia,Log Blob storage,dblogprodseasia.blob.core.windows.net,eastasia,"['20.150.86.4', '20.150.86.36', '20.150.86.100']"
59,East Asia,Event Hub endpoint,prod-southeastasia-observabilityeventhubs.servicebus.windows.net,eastasia,['40.78.234.0']
60,East US,Metastore,,eastus,[]
61,East US,Artifact Blob storage primary,,eastus,[]
62,East US,Artifact Blob storage secondary,dbartifactsprodeastus2.blob.core.windows.net,eastus,['13.77.115.36']
63,East US,Log Blob storage,,eastus,[]
64,East US,Event Hub endpoint,,eastus,[]
65,East US 2,Metastore,,eastus2,[]
66,East US 2,Artifact Blob storage primary,,eastus2,[]
67,East US 2,Artifact Blob storage secondary,dbartifactsprodeastus.blob.core.windows.net,eastus2,"['52.239.170.4', '52.239.169.164', '52.239.169.196']"
68,East US 2,Log Blob storage,,eastus2,[]
69,East US 2,Event Hub endpoint,,eastus2,[]
70,France Central,Metastore,consolidated-francecentral-prod-acl.mysql.database.azure.com,francecentral,[]
71,France Central,Artifact Blob storage primary,dbartifactsprodfrcentral.blob.core.windows.net,francecentral,"['52.239.134.36', '52.239.194.68', '52.239.194.4']"
72,France Central,Artifact Blob storage secondary,dbartifactsprodukwest.blob.core.windows.net,francecentral,['51.141.128.100']
73,France Central,Log Blob storage,dblogprodfrcentral.blob.core.windows.net,francecentral,"['52.239.134.36', '52.239.194.68', '52.239.194.4']"
74,France Central,Event Hub endpoint,prod-francecentral-observabilityeventhubs.servicebus.windows.net,francecentral,['40.79.130.18']
75,Germany West Central,Metastore,consolidated-germanywestcentral-prod-metastore-0.mysql.database.azure.com,germanywestcentral,['51.116.152.0']
76,Germany West Central,Artifact Blob storage primary,dbartifactsprodgerwescen.blob.core.windows.net,germanywestcentral,['20.38.118.132']
77,Germany West Central,Artifact Blob storage secondary,dbartifactsprodswissnor.blob.core.windows.net,germanywestcentral,['52.239.251.68']
78,Germany West Central,Log Blob storage,dblogprodgerwescen.blob.core.windows.net,germanywestcentral,['20.38.118.132']
79,Germany West Central,Event Hub endpoint,prod-germanywestcentral-observabilityEventHubs.servicebus.windows.net,germanywestcentral,['51.116.154.198']
80,Japan East,Metastore,consolidated-japaneast-prod-metastore.mysql.database.azure.com,japaneast,['40.79.192.23']
81,Japan East,Artifact Blob storage primary,dbartifactsprodjapaneast.blob.core.windows.net,japaneast,"['20.38.116.36', '52.239.145.132', '52.239.145.100']"
82,Japan East,Artifact Blob storage secondary,dbartifactsprodjapanwest.blob.core.windows.net,japaneast,['52.239.147.132']
83,Japan East,Log Blob storage,dblogprodjapaneast.blob.core.windows.net,japaneast,"['20.38.117.228', '20.150.85.4', '20.150.85.36']"
84,Japan East,Event Hub endpoint,prod-japaneast-observabilityeventhubs.servicebus.windows.net,japaneast,['13.78.106.65']
85,Japan West,Metastore,consolidated-japanwest-prod-metastore.mysql.database.azure.com,japanwest,['40.74.96.6']
86,Japan West,Artifact Blob storage primary,dbartifactsprodjapanwest.blob.core.windows.net,japanwest,['52.239.147.132']
87,Japan West,Artifact Blob storage secondary,dbartifactsprodjapaneast.blob.core.windows.net,japanwest,"['20.38.116.36', '52.239.145.132', '52.239.145.100']"
88,Japan West,Log Blob storage,dblogprodjapaneast.blob.core.windows.net,japanwest,"['20.38.117.228', '20.150.85.4', '20.150.85.36']"
