region,attribute,value,az_region_to_deploy_fuzzy_match,whitelistips,is_in_service_tag
Australia Central,Metastore,consolidated-australiacentral-prod-metastore.mysql.database.azure.com,australiacentral,['20.36.105.0/32'],no
Australia Central,Artifact Blob storage primary,dbartifactsprodaustc.blob.core.windows.net,australiacentral,['52.239.216.36/32'],no
Australia Central,Artifact Blob storage secondary,dbartifactsprodaustc2.blob.core.windows.net,australiacentral,['52.239.218.4/32'],no
Australia Central,Log Blob storage,dblogprodausteast.blob.core.windows.net,australiacentral,['52.239.226.68/32'],no
Australia Central,Event Hub endpoint,prod-australiaeast-observabilityeventhubs.servicebus.windows.net,australiacentral,['13.70.72.2/32'],no
Australia Central 2,Metastore,consolidated-australiacentral2-prod-metastore.mysql.database.azure.com,australiacentral2,['20.36.113.0/32'],no
Australia Central 2,Artifact Blob storage primary,dbartifactsprodaustc2.blob.core.windows.net,australiacentral2,['52.239.218.4/32'],no
Australia Central 2,Artifact Blob storage secondary,dbartifactsprodaustc.blob.core.windows.net,australiacentral2,['52.239.216.36/32'],no
Australia Central 2,Log Blob storage,dblogprodausteast.blob.core.windows.net,australiacentral2,['52.239.226.68/32'],no
Australia Central 2,Event Hub endpoint,prod-australiaeast-observabilityeventhubs.servicebus.windows.net,australiacentral2,['13.70.72.2/32'],no
Australia East,Metastore,consolidated-australiaeast-prod-metastore.mysql.database.azure.com and consolidated-australiaeast-prod-metastore-addl-1.mysql.database.azure.com,australiaeast,"['40.79.161.1/32', '13.75.149.87/32']",no
